t  meta_n  emi mean_cth  mean_gamma
0  114093  0.445792  0.908289  0.898923
100  104770  0.195675  1.0127  0.81614
200  105929  0.185483  0.985386  0.709931
300  106331  0.178265  0.954231  0.627858
400  105140  0.170397  0.925406  0.551505
500  106560  0.175167  0.908229  0.498786
600  105909  0.172771  0.888996  0.459933
700  106709  0.176062  0.879983  0.423975
800  105532  0.168521  0.867504  0.401344
900  105306  0.175094  0.860481  0.380986
1000  105802  0.177299  0.852056  0.359673
1100  105955  0.173392  0.84471  0.334276
1200  106420  0.179375  0.839157  0.323522
1300  107434  0.178014  0.83766  0.306612
1400  106232  0.180715  0.834509  0.298605
1500  105276  0.168469  0.832752  0.285252
1600  106062  0.169365  0.82792  0.268475
1700  107571  0.175844  0.821756  0.257858
1800  105763  0.173035  0.819681  0.250148
1900  106773  0.177098  0.8187  0.24633
2000  106478  0.172301  0.816695  0.239294
2100  106201  0.172789  0.815984  0.243384
2200  106165  0.174483  0.814277  0.244542
2300  106211  0.179381  0.812792  0.242167
2400  106165  0.174015  0.812425  0.227195
2500  105912  0.171927  0.811871  0.221878
2600  106584  0.174593  0.806601  0.20819
2700  105802  0.171632  0.80908  0.21919
2800  106783  0.175973  0.812088  0.21797
2900  105999  0.17086  0.812279  0.20688
3000  106135  0.167478  0.812334  0.207396
3100  106844  0.177221  0.808591  0.209004
3200  105623  0.167282  0.809885  0.201941
3300  105889  0.166744  0.80588  0.184306
3400  106910  0.17307  0.805746  0.178822
3500  106314  0.168205  0.80641  0.175612
3600  106662  0.167953  0.804793  0.176571
3700  106654  0.176782  0.801707  0.180203
3800  105858  0.168803  0.799749  0.174739
3900  106401  0.169412  0.801438  0.177486
4000  106331  0.17032  0.801851  0.1728
4100  107109  0.169822  0.801037  0.173784
4200  106584  0.170336  0.80173  0.177836
4300  106168  0.170377  0.803557  0.180156
4400  106711  0.166471  0.804461  0.175253
4500  105588  0.164066  0.805632  0.173225
4600  106946  0.169713  0.804187  0.172307
4700  106966  0.168985  0.803366  0.169658
4800  106302  0.169929  0.803905  0.165347
4900  106437  0.169044  0.802993  0.170542
5000  106199  0.163144  0.80296  0.170039
5100  105574  0.167221  0.803039  0.167043
5200  106942  0.174951  0.801722  0.166055
5300  106851  0.169613  0.800218  0.158071
5400  105965  0.161964  0.800965  0.155239
5500  106660  0.168549  0.800973  0.15705
5600  107142  0.171073  0.799271  0.150758
5700  107198  0.173934  0.799267  0.151265
5800  106193  0.167843  0.797921  0.149321
5900  105483  0.165267  0.797172  0.144353
6000  106051  0.166505  0.796714  0.143827
6100  106115  0.174955  0.797505  0.148448
6200  106644  0.164701  0.797371  0.146741
6300  106392  0.167929  0.798138  0.149231
6400  107010  0.166992  0.798533  0.148117
6500  106861  0.168296  0.798956  0.149647
6600  106854  0.16942  0.799701  0.154658
6700  106419  0.166939  0.801175  0.156016
6800  106587  0.168669  0.802156  0.159055
6900  107419  0.168874  0.800441  0.153439
7000  107252  0.167086  0.80003  0.154263
7100  106410  0.172187  0.798912  0.156742
7200  106665  0.165706  0.798865  0.159808
7300  106899  0.169106  0.79863  0.161076
7400  106812  0.170912  0.797862  0.161725
7500  106292  0.171484  0.797294  0.163657
7600  105691  0.168568  0.795723  0.16333
7700  107155  0.174557  0.795531  0.164947
7800  106487  0.168352  0.794898  0.164938
7900  107175  0.172563  0.794301  0.158823
8000  106409  0.173999  0.794112  0.158467
8100  106332  0.175209  0.793048  0.154607
8200  106662  0.172038  0.792569  0.15112
8300  105393  0.174403  0.791929  0.147358
8400  105145  0.169594  0.79096  0.143492
8500  107000  0.171462  0.792052  0.145233
8600  106565  0.170729  0.793197  0.151349
8700  106262  0.16784  0.793479  0.152338
8800  106606  0.171004  0.791577  0.144375
8900  106421  0.171726  0.792087  0.144452
9000  106046  0.168538  0.792488  0.144665
9100  107179  0.174882  0.791903  0.139756
9200  106284  0.171207  0.791106  0.138637
9300  106263  0.174059  0.790851  0.138694
9400  106293  0.17059  0.789825  0.134459
9500  106837  0.173831  0.789087  0.132824
9600  106092  0.173214  0.789073  0.131073
9700  106514  0.174222  0.789038  0.128598
9800  106109  0.169992  0.788707  0.125349
9900  107409  0.168692  0.788746  0.123079
