t  meta_n  emi mean_cth  mean_gamma
0  101763  0.446464  0.909778  0.899286
100  79602  0.269429  0.837463  0.8317
200  80258  0.256477  0.793315  0.743231
300  80952  0.253491  0.766784  0.671742
400  80272  0.25616  0.733015  0.59101
500  80129  0.254422  0.704013  0.532963
600  81255  0.259918  0.686787  0.483066
700  80455  0.253984  0.678632  0.444357
800  80990  0.246032  0.681477  0.435797
900  80903  0.248888  0.667091  0.415788
1000  80355  0.252666  0.658276  0.386775
1100  81351  0.2582  0.657534  0.38119
1200  81433  0.252562  0.648449  0.359835
1300  80635  0.256359  0.635857  0.325428
1400  81041  0.262084  0.630175  0.310175
1500  82013  0.263268  0.621747  0.291897
1600  81310  0.247272  0.624687  0.273688
1700  81514  0.248068  0.623455  0.267644
1800  80037  0.247547  0.622352  0.252297
1900  80991  0.248614  0.616695  0.234835
2000  80930  0.252086  0.613757  0.218265
2100  81466  0.244589  0.612963  0.204168
2200  81274  0.246261  0.611082  0.199884
2300  82287  0.245602  0.60702  0.191976
2400  81541  0.240534  0.608164  0.178325
2500  81323  0.252475  0.604553  0.17442
2600  80844  0.244056  0.604002  0.175995
2700  81536  0.251406  0.602663  0.170931
2800  81916  0.250766  0.60177  0.164888
2900  80967  0.247039  0.599338  0.160101
3000  81381  0.249022  0.595737  0.150172
3100  81893  0.24883  0.595396  0.15024
3200  81654  0.249456  0.598194  0.151563
3300  81476  0.248379  0.596515  0.155563
3400  81196  0.252386  0.597041  0.150748
3500  81573  0.245182  0.597351  0.145963
3600  80602  0.241974  0.595728  0.135529
3700  80444  0.24346  0.59406  0.130263
3800  82088  0.250333  0.592402  0.135763
3900  80260  0.239853  0.593097  0.136644
4000  79926  0.243566  0.593635  0.137592
4100  81041  0.246521  0.590792  0.134794
4200  81901  0.251276  0.58793  0.131741
4300  82044  0.250247  0.587396  0.123509
4400  81809  0.250067  0.588251  0.120131
4500  81471  0.257022  0.586254  0.115756
4600  81086  0.245338  0.584745  0.11773
4700  81474  0.251944  0.583139  0.117295
4800  81616  0.253898  0.582549  0.115067
4900  81256  0.247672  0.583495  0.110081
5000  81099  0.252035  0.583295  0.109095
5100  82570  0.251503  0.583421  0.106804
5200  80799  0.252776  0.583541  0.110624
5300  81365  0.246403  0.584171  0.106754
5400  81953  0.253344  0.58385  0.118569
5500  81279  0.246388  0.582565  0.108631
5600  81847  0.256799  0.581113  0.116517
5700  81021  0.2552  0.581945  0.112469
5800  80676  0.242962  0.581309  0.113595
5900  81118  0.253052  0.581297  0.106237
6000  81099  0.250434  0.579355  0.0967502
6100  80914  0.248088  0.579691  0.0976055
6200  81990  0.252606  0.580245  0.0985691
6300  82645  0.249352  0.582918  0.101306
6400  80637  0.244503  0.583026  0.0906826
6500  80936  0.247638  0.581931  0.0900813
6600  81397  0.247965  0.581817  0.0866839
6700  81775  0.244677  0.58235  0.0832511
6800  81343  0.238475  0.582558  0.0877207
6900  80872  0.242698  0.582023  0.0876101
7000  80998  0.248984  0.581342  0.0852817
7100  81534  0.247258  0.581144  0.0849109
7200  81417  0.244535  0.581394  0.0869331
7300  81480  0.239912  0.581274  0.0839764
7400  81310  0.245927  0.581509  0.0857628
7500  80873  0.248329  0.579615  0.0817261
7600  81328  0.245551  0.580153  0.0860603
7700  80415  0.237118  0.580016  0.0873359
7800  81799  0.252185  0.579313  0.0838708
7900  81335  0.244026  0.578149  0.0798446
8000  80971  0.250789  0.578784  0.0810122
8100  80850  0.252245  0.578003  0.0816705
8200  81824  0.254967  0.577489  0.0797078
8300  81370  0.243599  0.576602  0.0767778
8400  80783  0.251681  0.577122  0.0796139
8500  81581  0.249831  0.577344  0.0798062
8600  81855  0.257484  0.576777  0.0774841
8700  80278  0.238959  0.577306  0.0740785
8800  81537  0.253087  0.579332  0.0775444
8900  79836  0.2509  0.579202  0.0804981
9000  82079  0.248905  0.578512  0.067966
9100  81435  0.243643  0.578272  0.0674884
9200  82293  0.246025  0.57858  0.0685658
9300  81584  0.25022  0.577886  0.0643826
9400  80062  0.23933  0.577155  0.0642026
9500  81774  0.241377  0.578072  0.0665023
9600  80522  0.240674  0.577679  0.0654886
9700  81351  0.239731  0.576909  0.0646526
9800  81486  0.246507  0.578287  0.0680253
9900  81066  0.240715  0.578367  0.0677358
